longcode,spcode,leafl,LMA
ACACON,ACCON,10.8125,2.042130201
ACAGRE,ACGRE,15.71333333,1.998742122
ACASCH,ACSCH,14.07,6.403651334
AGAGRE,AGGRE,12.27,2.222305949
AGALEC,AGLEC,NA,11.51910687
ALOGRA,ALGRA,14.43,1.233748847
ARTLUD,ARLUD,16.81,2.843787997
astbro,astbro,12.265,1.088585582
astirr,astirr,46.562,3.185411047
astlin,astlin,21.59,1.829139655
astspo,astspo,12.49,1.358270018
budsca,budsca,31.86,1.501798088
CERMON,CEMON,27.76333333,1.621957544
cremim,cremim,7.31,1.235677724
DALFOR,DAFOR,8.75,2.555481491
DASLEI,DALEI,NA,5.568309095
EPHTOR,EPTOR,NA,7.198136933
ERILAR,ERLAR,6.96,3.302492904
fascic,fascic,11.32,2.11012648
FOUSPL,FOSPL,14.79,0.534918066
fuzbal,fuzbal,5.68,4.215838598
GUAANG,GUANG,12,1.643046415
JATDIO,JADIO,42.355,0.64729916
JUNCOA,JUCOA,25.4,5.585094471
JUNDEP,JUDEP,31.905,4.863466479
JUNFLA,JUFLA,60.41,4.451196949
JUNPIN,JUPIN,NA,7.067892031
LARTRI,LATRI,6.9875,1.792790032
legmin,legmin,11.35,1.502197761
LEUCAN,LECAN,14.7225,1.655765381
MAHTRI,MATRI,33.69,3.608390992
MIMACU,MIACU,1.96,2.207541693
NOLERU,NOERU,NA,5.895831211
opphai,opphai,40,0.694464732
oppwoo,oppwoo,42.415,1.068267701
PINCEM,PICEM,33.95,3.763324012
PROGLA,PRGLA,49.585,1.798565001
purgre,purgre,17.34,1.5188945
QUEEMO,QUEMO,52.9,0.971751478
QUEGRI,QUGRI,53.97,1.069399995
RHUMIC,RHMIC,23.1075,1.351022315
RHUTRI,RHTRI,31.02,1.046615333
RHUVIR,RHVIR,39.11,1.745913289
roubro,roubro,45,0.665102506
thidea,thidea,6.3,3.547084827
thigra,thigra,6.67,2.40474932
